Episode 1510, Steps: 10, Reward: -4976, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 15452.8987
Episode 1520, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18535.8388
Episode 1530, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18696.3026
Episode 1540, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16683.5987
Episode 1550, Steps: 33, Reward: -4988, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16164.0244
Episode 1560, Steps: 10, Reward: -4976, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16505.1674
Episode 1570, Steps: 14, Reward: -4968, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 14582.4778
Episode 1580, Steps: 116, Reward: -5069, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 14974.5590
Episode 1590, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 15787.5348
Episode 1600, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17133.6348
Episode 1610, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17747.9544
Episode 1620, Steps: 10, Reward: -4965, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18869.5787
Episode 1630, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17451.5265
Episode 1640, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 19376.0431
Episode 1650, Steps: 14, Reward: -4968, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16651.2928
Episode 1660, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17087.5289
Episode 1670, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 19325.3198
Episode 1680, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18298.3848
Episode 1690, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 20973.0300
Episode 1700, Steps: 10, Reward: -4975, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 25979.5298
Episode 1710, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 21110.2864
Episode 1720, Steps: 10, Reward: -4972, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 24526.9280
Episode 1730, Steps: 12, Reward: -4966, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 25928.6956
Episode 1740, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 24982.2528
Episode 1750, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 28896.0935
Episode 1760, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 34158.3306
Episode 1770, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 34822.5114
Episode 1780, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 37221.3612
Episode 1790, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 40171.6818
Episode 1800, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 40497.2528
Episode 1810, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 43710.1569
Episode 1820, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 53741.7223
Episode 1830, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 58673.4613
Episode 1840, Steps: 10, Reward: -4961, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 53670.5112
Episode 1850, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 56660.6992
Episode 1860, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 53983.9339
Episode 1870, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 55753.2246
Episode 1880, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 63688.1097
Episode 1890, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 68372.0941
Episode 1900, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 74885.9961
Episode 1910, Steps: 11, Reward: -4963, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 61940.2318
Episode 1920, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 71687.0792
Episode 1930, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 74738.4968
Episode 1940, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 70240.0756
Episode 1950, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 96103.4858
Episode 1960, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 80157.5753
Episode 1970, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 78148.0721
Episode 1980, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 79875.6836
Episode 1990, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 85513.6580
Episode 2000, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 92253.5433
Episode 2010, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 87543.6605
Episode 2020, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 81986.8622
Episode 2030, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 82453.8668
Episode 2040, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 71590.1953
Episode 2050, Steps: 10, Reward: -4965, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 81747.4542
Episode 2060, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18909.6734
Episode 2070, Steps: 13, Reward: -4968, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 19880.0412
Episode 2080, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 21838.2651
Episode 2090, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 25187.8281
Episode 2100, Steps: 23, Reward: -4967, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 25767.7767
